"","Index","Postal.Code","Lat","Long","Review.Count","Stars","Restaurants.Price.Range","Wi.Fi","Weighted.Star"
"1",7,93101,34.4239925,-119.6979304,7,4,NA,1,28
"2",8,93103,34.4176898,-119.6685252,767,2.5,3,1,1917.5
"3",13,93105,34.44000428,-119.7299683,60,3,2,1,180
"4",14,93101,34.4173965,-119.6943895,58,3.5,NA,1,203
"5",26,93101,34.4274395,-119.7089011,181,3.5,NA,0,633.5
"6",28,93101,34.4159952,-119.6957189,195,3.5,2,1,682.5
"7",30,93101,34.4115493,-119.6912666,204,2.5,3,1,510
"8",31,93101,34.4119015,-119.6906104,304,3.5,3,1,1064
"9",32,93101,34.4098365,-119.6947637,136,4,2,1,544
"10",35,93103,34.4388519,-119.7043733,331,4,4,1,1324
"11",49,93108,34.44687739,-119.623055,129,4.5,4,1,580.5
"12",51,93108,34.445018,-119.623996,12,4.5,NA,NA,54
"13",52,93108,34.4173394,-119.64204,508,4.5,4,1,2286
"14",56,93117,34.43454513,-119.9206728,1383,3.5,4,1,4840.5
"15",59,93067,34.4196928,-119.5934038,96,4,3,1,384
"16",63,93110,34.4440217,-119.7879814,216,3,2,1,648
"17",64,93101,34.4101551,-119.6935351,322,4.5,2,1,1449
"18",66,93101,34.42349,-119.709344,156,4,3,1,624
"19",67,93101,34.40383911,-119.6931381,32,4.5,1,0,144
"20",71,93105,34.44078,-119.7384698,61,2.5,2,1,152.5
"21",72,93105,34.43822593,-119.7250354,270,2.5,2,1,675
"22",73,93117,34.4335126,-119.9206407,86,4,3,1,344
"23",76,93101,34.4111834,-119.6908593,139,2,2,1,278
"24",77,93117,34.44194157,-119.8201023,129,3.5,2,1,451.5
"25",82,93106,34.41238069,-119.8512215,6,4.5,2,1,27
"26",85,93101,34.430838,-119.713601,106,2,2,1,212
"27",86,93103,34.4174998,-119.6728902,38,3.5,3,1,133
"28",95,93101,34.4101551,-119.6935351,13,5,NA,NA,65
"29",98,93101,34.421933,-119.710226,127,4,NA,1,508
"30",105,93103,34.41716808,-119.6725323,180,4,2,1,720
"31",106,93067,34.421595,-119.6045685,56,2,2,1,112
"32",109,93117,34.44156253,-119.8209244,444,3.5,2,1,1554
"33",110,93013,34.3925101,-119.5094567,149,3.5,2,1,521.5
"34",112,93190,34.4400491,-119.7419479,23,2,1,1,46
"35",113,93105,34.4390034,-119.7250826,76,2,1,1,152
"36",114,93108,34.4372657,-119.6053654,6,5,2,1,30
"37",115,93101,34.4296092,-119.7125107,31,1.5,2,1,46.5
"38",116,93013,34.4051958,-119.5327704,130,2,2,1,260
"39",117,93117,34.435352,-119.8310556,58,2,2,1,116
"40",118,93105,34.439351,-119.739423,186,2.5,2,1,465
"41",119,93013,34.3915495,-119.5101665,50,2.5,2,1,125
"42",120,93101,34.409821,-119.69561,201,2.5,2,1,502.5
"43",121,93103,34.4172918,-119.6714417,122,2.5,2,1,305
"44",122,93105,34.4407031,-119.7364401,103,2.5,2,1,257.5
"45",123,93111,34.443471,-119.7915028,124,2.5,2,1,310
"46",124,93013,34.40212067,-119.5259054,292,3,2,1,876
"47",125,93105,34.4408758,-119.7486002,210,3.5,2,1,735
"48",126,93101,34.4272406,-119.716988,109,3.5,2,1,381.5
"49",127,93101,34.4094606,-119.6947742,122,3.5,2,1,427
"50",128,93101,34.4095661,-119.6951589,44,3.5,2,1,154
"51",129,93105,34.4302486,-119.720863,177,3.5,2,1,619.5
"52",130,93111,34.436448,-119.8159632,183,3.5,2,1,640.5
"53",131,93101,34.4092802,-119.69348,137,4,2,1,548
"54",132,93101,34.40961902,-119.6932475,194,4,2,1,776
"55",133,93101,34.40974664,-119.6982209,133,4,2,1,532
"56",134,93101,34.4277775,-119.7100343,215,4,2,1,860
"57",135,93105,34.440737,-119.7333245,184,4,2,1,736
"58",136,93101,34.4088277,-119.6946257,233,4.5,2,1,1048.5
"59",137,93101,34.40976265,-119.6982319,165,4.5,2,1,742.5
"60",138,93013,34.4048841,-119.5314791,107,2,2,1,214
"61",139,93117,34.44100866,-119.8279461,91,2.5,2,1,227.5
"62",140,93013,34.393225,-119.51035,175,2.5,2,1,437.5
"63",142,93103,34.41839451,-119.6716672,78,3.5,3,1,273
"64",143,93101,34.4174724,-119.6967175,261,3.5,3,1,913.5
"65",144,93101,34.4290241,-119.7080975,113,4.5,3,1,508.5
"66",145,93013,34.3940407,-119.525464,8,4,3,1,32
"67",148,93108,34.4205752,-119.6441788,19,2.5,NA,NA,47.5
"68",153,93101,34.4084273,-119.693869,55,2.5,NA,1,137.5
"69",154,93105,34.439849,-119.7359487,9,4.5,NA,1,40.5
"70",156,93013,34.40203695,-119.4902873,20,5,2,0,100
"71",158,93101,34.4103881,-119.6958943,96,4.5,2,1,432
"72",162,93103,34.4186883,-119.67127,8,2,NA,NA,16
"73",178,93101,34.41015136,-119.6981969,19,3,NA,NA,57
"74",197,93117,34.43515201,-119.8222348,152,3.5,2,1,532
"75",198,93103,34.4183468,-119.6713591,128,4,2,1,512
"76",199,93105,34.4399624,-119.7389569,86,2,2,1,172
"77",200,93103,34.4180701,-119.6709256,129,3,2,1,387
"78",201,93101,34.4272075,-119.7120215,232,4.5,3,1,1044
"79",202,93103,34.4182352,-119.6699629,257,3.5,2,1,899.5
"80",203,93108,34.4215789,-119.6452317,61,3.5,2,1,213.5
"81",204,93101,34.4105211,-119.6943283,368,4.5,2,1,1656
"82",205,93101,34.41043854,-119.6920395,825,3,3,1,2475
"83",206,93101,34.422435,-119.708952,22,4.5,2,1,99
"84",207,93101,34.4150898,-119.6924589,20,2.5,NA,1,50
"85",208,93117,34.42484665,-119.8705215,122,3.5,2,1,427
"86",209,93117,34.43265659,-119.8443271,53,4,2,1,212
"87",226,93106,34.41742,-119.845692,84,5,2,1,420
"88",228,93101,34.41012472,-119.6972139,194,4.5,2,1,873
"89",229,93108,34.41641,-119.640996,32,4.5,3,1,144
"90",230,93108,34.4212447,-119.640407,262,3.5,3,1,917
"91",231,93110,34.4402791,-119.760044,67,3,NA,1,201
"92",232,93101,34.4272253,-119.7098258,180,3.5,2,1,630
"93",233,93101,34.40919711,-119.6938091,135,4.5,2,1,607.5
"94",234,93103,34.41676265,-119.676553,288,2.5,3,1,720
"95",235,93101,34.4132794,-119.6898862,162,3.5,3,1,567
"96",236,93101,34.42043674,-119.7026383,481,4,3,1,1924
"97",237,93108,34.420988,-119.628561,189,3.5,4,1,661.5
"98",244,93101,34.4095661,-119.6951589,54,4.5,NA,1,243
"99",246,93101,34.4255544,-119.7148108,148,4.5,NA,1,666
"100",247,93101,34.4171093,-119.699329,9,5,NA,1,45
"101",249,93103,34.418065,-119.673137,5,5,NA,1,25
"102",258,93108,34.435421,-119.63643,17,4.5,NA,NA,76.5
